metric,value,real,fake,net
fid,19.55176919656779,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_58Ktraining,vicreg_rn50_inet
fid,0.6355633811935333,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_250steps_train_250_steps_inference_58Ktraining,mae_vitb16
fid,5.252128939214895e-05,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,randomly_initialized_feature_network-CROPPED64,mae_solar_vitb16
fid,25.78335915914533,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_78Ktraining_no_random_flip_dropout0.3,vicreg_rn50_inet
fid,15.89364186544817,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_4000steps_train_125_steps_inference_58Ktraining,vicreg_rn50_solar_v2
fid,21.799823312056105,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,randomly_initialized_feature_network-CROPPED64,
fid,3.366565788104363,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,unfreeze_feature_network,random_inception_v3
fid,0.6527447322301341,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,unfreeze_feature_network-CROPPED128,mae_solar_vitb16
fid,175.68624188476792,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,randomly_initialized_feature_network_unfrozen-CROPPED128,
fid,523.9451652442158,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED299,unfreeze_feature_network+trainable_projections-CROPPED299,inception_v3
fid,476.8167523428955,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,efficientnet-lite2,mae_solar_vitb16_v2
fid,2.145252911133156,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,trainable_projections-CROPPED128,
fid,63.26151978568577,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_500steps_train_125_steps_inference_58Ktraining,vicreg_rn50_solar_v2
fid,2.011543639757844,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_125steps_train_125_steps_inference_58Ktraining,random_inception_v3
fid,7.424706355949894,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,efficientnet-lite1,inception_v3
fid,27.36367119435224,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_250steps_train_250_steps_inference_56Ktraining_no_random_flip,inception_v3
fid,28.134824782188844,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_54Ktraining_no_random_flip,inception_v3
fid,0.0120991738443327,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan,clip_rn50
fid,108.57306356508457,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,efficientnet-lite1,dino_vitb16
fid,8.459155895192563,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,no_cross_scale_mixing,vicreg_rn50_solar
fid,5.629130562597016,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,discriminator_1,vicreg_rn50_solar_v2
fid,1.5251953772744855,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,no_cross_scale_and_no_cross_channel_mixing-CROPPED128,
fid,0.0001882392650907,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,discriminator_1-CROPPED64,mae_solar_vitb16
fid,0.0059380669381731,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,no_cross_scale_and_no_cross_channel_mixing,inception_v3_other_block_0
kid,0.0016134249049048,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,efficientnet-lite3,inception_v3
fid,15.271663028622784,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_58Ktraining,inception_v3
fid,10.690697142995331,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,discriminator_1,
fid,1.1592742665095557,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,full_projectedgan_baseline-CROPPED64,vicreg_rn50_solar_v2
fid,0.9580927137967024,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,efficientnet-lite2-CROPPED256,
fid,10.690697142995331,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,discriminator_1,inception_v3
fid,5.777619382235644e-05,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,efficientnet-lite2-CROPPED64,mae_solar_vitb16
fid,2.399525789809303,"image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED299CS_0.1,1_CR_1,1","efficientnet-lite3-CROPPED299CS_0.1,1_CR_1,1",
fid,43.295541681483286,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_58Ktraining_small_unet,inception_v3
fid,55.83802989876921,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,randomly_initialized_feature_network-CROPPED256,inception_v3
fid,5.412397124402787,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan_baseline,inception_v3
fid,741.4428383658726,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,unfreeze_feature_network,vicreg_rn50_solar_v2
fid,441.4255558859576,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,unfreeze_feature_network+trainable_projections-CROPPED128,inception_v3
fid,35.437836047956225,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_54Ktraining_no_random_flip,vicreg_rn50_inet
